CustomerID,total_transactions,Customer_behavior,lifespan_months,total_variety_products_purchased,total_products_purchased,Revenue,AOV,Country
14448,2,repeating customer,11,20,104,375.35,187.68,United Kingdom
12966,1,one time customer,0,10,75,160.18,160.18,United Kingdom
15427,3,repeating customer,1,292,967,1430.54,476.85,United Kingdom
13940,4,repeating customer,4,49,516,839.14,209.79,United Kingdom
14970,4,repeating customer,9,34,250,1592.06,398.01,United Kingdom
15004,1,one time customer,0,154,623,1220.77,1220.77,United Kingdom
14298,45,repeating customer,12,1640,58665,52192.16,1159.83,United Kingdom
16639,4,repeating customer,7,52,517,1345.64,336.41,United Kingdom
15799,3,repeating customer,8,98,955,884.14,294.71,United Kingdom
16978,1,one time customer,0,39,166,344.33,344.33,United Kingdom
13652,3,repeating customer,10,63,578,1095.08,365.03,United Kingdom
15105,7,repeating customer,4,101,1211,2298.93,328.42,United Kingdom
17637,2,repeating customer,3,35,280,547.06,273.53,United Kingdom
13650,7,repeating customer,8,98,926,1863.34,266.19,United Kingdom
12553,14,repeating customer,11,196,2006,3732.31,266.59,France
14567,3,repeating customer,3,34,414,1536.26,512.09,United Kingdom
15674,8,repeating customer,6,135,1475,3149.18,393.65,United Kingdom
17735,19,repeating customer,12,690,8439,13110.02,690,United Kingdom
12423,9,repeating customer,12,126,1351,1869.51,207.72,Belgium
15376,3,repeating customer,5,116,615,1221.56,407.19,United Kingdom
17928,2,repeating customer,6,23,140,212.54,106.27,United Kingdom
13924,11,repeating customer,3,137,1618,1995.62,181.42,United Kingdom
15985,3,repeating customer,4,38,1336,1247.42,415.81,United Kingdom
15958,1,one time customer,0,7,33,104.35,104.35,United Kingdom
12728,4,repeating customer,8,46,419,836.33,209.08,France
16185,2,repeating customer,7,31,260,529.41,264.71,United Kingdom
14759,3,repeating customer,8,102,569,1625.97,541.99,United Kingdom
17696,14,repeating customer,11,126,1782,2370.37,169.31,United Kingdom
16546,3,repeating customer,2,31,1401,1670.23,556.74,United Kingdom
18123,2,repeating customer,0,34,582,574.44,287.22,United Kingdom
14222,1,one time customer,0,41,607,683.17,683.17,United Kingdom
12897,2,repeating customer,3,4,110,216.5,108.25,United Kingdom
13033,1,one time customer,0,11,83,190.55,190.55,United Kingdom
17263,1,one time customer,0,23,36,63.44,63.44,United Kingdom
14238,1,one time customer,0,8,111,146.85,146.85,United Kingdom
13618,1,one time customer,0,13,246,177.34,177.34,United Kingdom
13447,4,repeating customer,0,62,591,1154.05,288.51,United Kingdom
13951,3,repeating customer,4,39,459,674.45,224.82,United Kingdom
17085,6,repeating customer,8,188,787,1574,262.33,United Kingdom
12545,2,repeating customer,6,50,523,1000.39,500.2,Spain
16880,7,repeating customer,5,174,746,1491.43,213.06,United Kingdom
15938,5,repeating customer,7,18,240,404.58,80.92,United Kingdom
14719,6,repeating customer,8,236,1026,1591.79,265.3,United Kingdom
16116,2,repeating customer,0,35,250,632.68,316.34,United Kingdom
15860,8,repeating customer,10,139,437,965.16,120.64,United Kingdom
15836,2,repeating customer,0,12,28,157.27,78.64,United Kingdom
16535,1,one time customer,0,31,356,593.75,593.75,United Kingdom
18252,2,repeating customer,4,94,234,518.27,259.14,United Kingdom
16778,2,repeating customer,6,16,194,245.94,122.97,United Kingdom
18191,1,one time customer,0,7,140,207.8,207.8,United Kingdom
14752,1,one time customer,0,5,260,389.64,389.64,United Kingdom
13704,10,repeating customer,3,135,1534,2320.81,232.08,United Kingdom
18004,1,one time customer,0,37,75,157.92,157.92,United Kingdom
17870,13,repeating customer,12,271,1352,1870.84,143.91,United Kingdom
14852,6,repeating customer,6,143,1747,2836.69,472.78,United Kingdom
12949,10,repeating customer,7,219,2399,4191.42,419.14,United Kingdom
16378,3,repeating customer,2,23,267,362.95,120.98,United Kingdom
14234,4,repeating customer,1,147,951,754.12,188.53,United Kingdom
17560,5,repeating customer,7,27,651,854.95,170.99,United Kingdom
13207,2,repeating customer,4,8,130,250.26,125.13,United Kingdom
15593,1,one time customer,0,5,60,199.8,199.8,United Kingdom
13155,4,repeating customer,11,85,497,971.76,242.94,United Kingdom
12446,1,one time customer,0,58,352,1002.31,1002.31,RSA
NULL,3,repeating customer,8,47,363,913.57,304.52,Israel
14581,1,one time customer,0,17,217,138.6,138.6,United Kingdom
16715,1,one time customer,0,19,642,301.72,301.72,United Kingdom
14340,1,one time customer,0,6,58,134.7,134.7,United Kingdom
16895,1,one time customer,0,62,91,202.27,202.27,United Kingdom
17171,1,one time customer,0,16,185,224.91,224.91,United Kingdom
14729,1,one time customer,0,71,197,313.49,313.49,United Kingdom
13229,1,one time customer,0,10,63,160.95,160.95,United Kingdom
17939,1,one time customer,0,12,40,99.14,99.14,United Kingdom
16684,31,repeating customer,12,281,51120,67415.04,2174.68,United Kingdom
14923,1,one time customer,0,44,418,749.1,749.1,United Kingdom
12817,1,one time customer,0,4,53,166.04,166.04,Austria
14171,1,one time customer,0,58,167,363.79,363.79,United Kingdom
12603,1,one time customer,0,3,64,739.2,739.2,Germany
16483,1,one time customer,0,19,44,139.35,139.35,United Kingdom
17550,3,repeating customer,1,42,86,267.16,89.05,United Kingdom
14760,2,repeating customer,0,7,52,124.6,62.3,United Kingdom
16480,1,one time customer,0,53,455,769.29,769.29,United Kingdom
17481,5,repeating customer,3,83,1062,1261.84,252.37,United Kingdom
13978,2,repeating customer,1,15,315,196.79,98.4,United Kingdom
17511,46,repeating customer,12,1076,66086,93999.38,2043.46,United Kingdom
17179,3,repeating customer,6,80,290,711.79,237.26,United Kingdom
14547,9,repeating customer,2,356,2649,3995.55,443.95,United Kingdom
15142,1,one time customer,0,26,365,498.74,498.74,United Kingdom
12490,10,repeating customer,11,245,3064,5417.93,541.79,France
12781,5,repeating customer,9,30,750,945.76,189.15,Czech Republic
12968,1,one time customer,0,5,73,135.95,135.95,United Kingdom
14962,1,one time customer,0,5,44,126.7,126.7,United Kingdom
16491,1,one time customer,0,39,478,731.5,731.5,United Kingdom
17545,3,repeating customer,0,141,337,642.32,214.11,United Kingdom
17312,3,repeating customer,0,14,372,644.3,214.77,United Kingdom
16405,2,repeating customer,0,5,187,167.25,83.63,United Kingdom
16444,5,repeating customer,7,86,409,670.57,134.11,United Kingdom
15756,4,repeating customer,6,191,241,528.01,132,United Kingdom
15054,2,repeating customer,1,114,198,302.1,151.05,United Kingdom
12523,13,repeating customer,11,110,869,1833.97,141.07,France
13859,1,one time customer,0,28,129,201.16,201.16,United Kingdom
14908,1,one time customer,0,9,132,277.8,277.8,United Kingdom
12868,6,repeating customer,6,107,928,1607.06,267.84,United Kingdom
13538,7,repeating customer,9,25,175,1280.85,182.98,United Kingdom
15797,4,repeating customer,7,8,873,2207.4,551.85,United Kingdom
15327,1,one time customer,0,10,116,208.75,208.75,United Kingdom
16769,1,one time customer,0,38,80,361.54,361.54,United Kingdom
13336,1,one time customer,0,51,559,795.12,795.12,United Kingdom
14711,12,repeating customer,8,347,978,2870.22,239.18,United Kingdom
13339,1,one time customer,0,54,326,860.12,860.12,United Kingdom
12497,1,one time customer,0,14,1236,1043.1,1043.1,Germany
12506,1,one time customer,0,23,23,73.5,73.5,France
16482,1,one time customer,0,18,346,220.62,220.62,United Kingdom
17331,1,one time customer,0,1,16,175.2,175.2,United Kingdom
14495,2,repeating customer,2,6,62,123.8,61.9,United Kingdom
18261,2,repeating customer,1,21,146,324.24,162.12,United Kingdom
15709,1,one time customer,0,6,121,133.25,133.25,United Kingdom
13482,1,one time customer,0,11,116,184.64,184.64,United Kingdom
13470,2,repeating customer,1,10,100,165,82.5,United Kingdom
12617,1,one time customer,0,41,210,352.98,352.98,France
17861,9,repeating customer,11,220,2005,2139.48,237.72,United Kingdom
17243,30,repeating customer,12,394,3328,8588.35,286.28,United Kingdom
14241,1,one time customer,0,10,146,213.7,213.7,United Kingdom
14221,10,repeating customer,9,194,2192,3437.75,343.77,United Kingdom
13841,1,one time customer,0,1,100,85,85,United Kingdom
15480,1,one time customer,0,45,303,905.5,905.5,Malta
14518,1,one time customer,0,16,278,174.37,174.37,United Kingdom
16960,3,repeating customer,7,101,304,507.05,169.02,United Kingdom
17653,5,repeating customer,3,50,1417,1239.24,247.85,United Kingdom
16618,6,repeating customer,10,97,1364,2664.54,444.09,United Kingdom
13030,2,repeating customer,11,92,348,752.44,376.22,United Kingdom
12360,3,repeating customer,5,129,1165,2662.06,887.35,Austria
13064,4,repeating customer,10,68,514,1105.59,276.4,United Kingdom
16594,1,one time customer,0,53,64,181.09,181.09,United Kingdom
13623,7,repeating customer,9,83,294,803.08,114.73,United Kingdom
12943,1,one time customer,0,1,1,3.75,3.75,United Kingdom
14907,10,repeating customer,12,168,1696,3523.35,352.33,United Kingdom
13045,1,one time customer,0,18,221,305.28,305.28,United Kingdom
17489,2,repeating customer,5,29,428,376.64,188.32,United Kingdom
13185,1,one time customer,0,1,12,71.4,71.4,United Kingdom
14104,2,repeating customer,1,21,72,216.21,108.11,United Kingdom
15703,1,one time customer,0,5,66,211.5,211.5,United Kingdom
17062,5,repeating customer,1,70,420,537.23,107.45,United Kingdom
12951,8,repeating customer,11,65,506,1086.07,135.76,United Kingdom
15665,2,repeating customer,2,115,1654,2222.21,1111.11,United Kingdom
16462,4,repeating customer,7,4,20,170,42.5,United Kingdom
16072,1,one time customer,0,23,140,584.32,584.32,United Kingdom
15124,2,repeating customer,5,15,233,184.19,92.09,United Kingdom
18194,2,repeating customer,1,9,816,1051.68,525.84,United Kingdom
18121,2,repeating customer,0,31,438,653.3,326.65,United Kingdom
17183,8,repeating customer,4,76,1328,3407.71,425.96,United Kingdom
15392,5,repeating customer,12,85,1289,1555.33,311.07,United Kingdom
15510,1,one time customer,0,1,2,250,250,United Kingdom
16343,2,repeating customer,0,43,175,328.58,164.29,United Kingdom
14549,1,one time customer,0,56,136,289.24,289.24,United Kingdom
13976,1,one time customer,0,10,154,357.98,357.98,United Kingdom
17742,2,repeating customer,7,15,89,355.11,177.56,United Kingdom
15774,1,one time customer,0,25,87,270.8,270.8,United Kingdom
16139,3,repeating customer,6,31,330,635.41,211.8,United Kingdom
15215,6,repeating customer,9,43,239,853.89,142.31,United Kingdom
17505,2,repeating customer,2,52,556,1145.84,572.92,United Kingdom
17811,51,repeating customer,11,849,4195,7921.84,155.33,United Kingdom
12437,19,repeating customer,11,201,2928,5006.16,263.48,France
13126,10,repeating customer,12,142,2156,2142.99,214.3,United Kingdom
17960,1,one time customer,0,26,41,73.78,73.78,United Kingdom
13014,16,repeating customer,9,124,928,3567.13,222.95,United Kingdom
18135,5,repeating customer,5,20,349,681.91,136.38,United Kingdom
13343,2,repeating customer,0,22,144,402.93,201.47,United Kingdom
15819,4,repeating customer,7,123,1357,1905.45,476.36,United Kingdom
14868,9,repeating customer,8,147,1411,2967.54,329.73,United Kingdom
15306,3,repeating customer,3,58,810,1174.35,391.45,United Kingdom
14836,3,repeating customer,0,6,45,102.45,34.15,United Kingdom
17859,1,one time customer,0,23,102,141.92,141.92,United Kingdom
13253,2,repeating customer,6,36,1572,1030.4,515.2,United Kingdom
15766,1,one time customer,0,11,170,315.06,315.06,United Kingdom
14557,2,repeating customer,1,32,1020,1576.76,788.38,United Kingdom
16776,1,one time customer,0,71,254,371.54,371.54,United Kingdom
15978,1,one time customer,0,49,888,1098.78,1098.78,United Kingdom
16926,1,one time customer,0,14,35,230.25,230.25,United Kingdom
15728,1,one time customer,0,4,34,134.8,134.8,United Kingdom
13458,22,repeating customer,12,394,5556,9755.22,443.42,United Kingdom
15069,1,one time customer,0,70,520,1109.53,1109.53,United Kingdom
15594,6,repeating customer,7,104,984,1776.03,296,United Kingdom
13552,16,repeating customer,9,121,1448,3940.61,246.29,United Kingdom
14669,3,repeating customer,3,166,770,1259.24,419.75,United Kingdom
15225,1,one time customer,0,23,226,409.4,409.4,United Kingdom
14336,4,repeating customer,8,90,1759,1614.91,403.73,United Kingdom
13792,2,repeating customer,8,13,92,195.55,97.77,United Kingdom
13081,21,repeating customer,12,1061,19299,28710.28,1367.16,United Kingdom
13426,12,repeating customer,12,159,2266,3731.94,310.99,United Kingdom
13756,15,repeating customer,12,143,3212,5233.92,348.93,United Kingdom
16581,2,repeating customer,1,11,146,141.24,70.62,United Kingdom
13120,1,one time customer,0,1,12,30.6,30.6,United Kingdom
17600,1,one time customer,0,13,144,161.67,161.67,United Kingdom
14847,1,one time customer,0,13,120,309.4,309.4,United Kingdom
17155,2,repeating customer,5,20,242,251.7,125.85,United Kingdom
17555,2,repeating customer,10,105,348,480.31,240.16,United Kingdom
15670,1,one time customer,0,12,91,173.05,173.05,United Kingdom
12999,3,repeating customer,1,28,342,455.88,151.96,United Kingdom
15637,1,one time customer,0,15,128,223.36,223.36,United Kingdom
13510,5,repeating customer,6,117,1390,1797.96,359.59,United Kingdom
13135,1,one time customer,0,1,4300,3096,3096,United Kingdom
15606,11,repeating customer,9,91,1064,3417.68,310.7,United Kingdom
14220,2,repeating customer,4,21,272,632.4,316.2,United Kingdom
16607,16,repeating customer,11,174,2896,3656.75,228.55,United Kingdom
15199,4,repeating customer,8,13,396,1268.7,317.18,United Kingdom
13044,1,one time customer,0,33,429,560.47,560.47,United Kingdom
17542,1,one time customer,0,25,134,170.75,170.75,United Kingdom
16550,9,repeating customer,8,261,1554,2331.69,259.08,United Kingdom
16338,1,one time customer,0,11,94,214.8,214.8,United Kingdom
14175,7,repeating customer,9,164,1569,3336.54,476.65,United Kingdom
17950,4,repeating customer,9,72,390,492.28,123.07,United Kingdom
13132,1,one time customer,0,3,20,77.3,77.3,United Kingdom
13224,3,repeating customer,3,109,1524,2161.05,720.35,United Kingdom
15675,3,repeating customer,6,21,527,323.69,107.9,United Kingdom
12645,5,repeating customer,10,74,1096,1794.98,359,Germany
12454,2,repeating customer,0,30,2012,7056.68,3528.34,Spain
16950,3,repeating customer,10,42,644,1178.56,392.85,United Kingdom
15187,18,repeating customer,7,93,1905,4884.28,271.35,United Kingdom
14681,3,repeating customer,4,7,76,498.95,166.32,United Kingdom
16916,2,repeating customer,11,136,431,562.41,281.2,United Kingdom
14918,2,repeating customer,1,45,675,1610.15,805.08,United Kingdom
17448,1,one time customer,0,1,1,4287.63,4287.63,United Kingdom
15918,2,repeating customer,3,40,153,334.23,167.12,United Kingdom
14020,2,repeating customer,2,39,441,642.8,321.4,United Kingdom
16838,3,repeating customer,3,26,186,594.8,198.27,United Kingdom
16956,2,repeating customer,0,18,116,325.14,162.57,United Kingdom
14647,1,one time customer,0,28,91,236.04,236.04,United Kingdom
12430,1,one time customer,0,11,117,256.4,256.4,Norway
14350,2,repeating customer,0,21,200,307.16,153.58,United Kingdom
18058,1,one time customer,0,3,88,170.16,170.16,United Kingdom
16614,1,one time customer,0,26,223,506.19,506.19,United Kingdom
16433,1,one time customer,0,17,106,184.26,184.26,United Kingdom
13280,3,repeating customer,7,82,518,798.46,266.15,United Kingdom
13356,1,one time customer,0,42,325,768.24,768.24,United Kingdom
16979,8,repeating customer,10,91,870,1894.95,236.87,United Kingdom
16818,13,repeating customer,6,191,2167,3381.17,260.09,United Kingdom
15026,3,repeating customer,6,61,285,469,156.33,United Kingdom
15121,2,repeating customer,8,28,199,457.72,228.86,United Kingdom
17719,18,repeating customer,8,278,2477,5424.28,301.35,United Kingdom
13520,8,repeating customer,10,95,1656,3760.95,470.12,Switzerland
16441,2,repeating customer,8,24,173,381.2,190.6,United Kingdom
15414,3,repeating customer,7,39,443,774.9,258.3,United Kingdom
14055,1,one time customer,0,10,216,725.64,725.64,United Kingdom
17499,1,one time customer,0,40,711,622.88,622.88,United Kingdom
17920,17,repeating customer,12,665,2473,4119.5,242.32,United Kingdom
15561,5,repeating customer,6,31,278,878.44,175.69,United Kingdom
14757,1,one time customer,0,19,160,420.5,420.5,United Kingdom
17757,31,repeating customer,12,741,3322,5613.19,181.07,United Kingdom
15012,2,repeating customer,10,122,225,405.04,202.52,United Kingdom
16212,3,repeating customer,8,43,247,699.49,233.16,United Kingdom
13171,5,repeating customer,10,48,231,510.01,102,United Kingdom
17110,1,one time customer,0,12,50,163.3,163.3,United Kingdom
15609,2,repeating customer,0,18,151,326.93,163.47,United Kingdom
13871,14,repeating customer,9,338,2811,6416.7,458.34,United Kingdom
17041,4,repeating customer,11,70,931,1087.29,271.82,United Kingdom
16250,2,repeating customer,3,24,208,389.44,194.72,United Kingdom
12662,12,repeating customer,12,232,2076,3882.48,323.54,Germany
16293,12,repeating customer,12,120,986,2261.24,188.44,United Kingdom
16101,3,repeating customer,2,83,776,1335.44,445.15,United Kingdom
16308,4,repeating customer,8,4,8000,2560,640,United Kingdom
12576,6,repeating customer,9,89,970,1324.68,220.78,Poland
13973,1,one time customer,0,11,109,264.7,264.7,United Kingdom
16698,2,repeating customer,1,5,840,1998,999,United Kingdom
13568,1,one time customer,0,43,66,187.05,187.05,United Kingdom
18259,3,repeating customer,11,42,714,2338.6,779.53,United Kingdom
12477,9,repeating customer,9,308,3686,13322.47,1480.27,Germany
13003,3,repeating customer,3,6,103,149.05,49.68,United Kingdom
14585,1,one time customer,0,29,91,157.05,157.05,United Kingdom
13632,6,repeating customer,7,146,1032,2123.18,353.86,United Kingdom
15193,1,one time customer,0,19,144,499.32,499.32,United Kingdom
16108,2,repeating customer,0,49,631,868.9,434.45,United Kingdom
12749,8,repeating customer,7,231,1520,4313.56,539.2,United Kingdom
16413,1,one time customer,0,31,148,262.2,262.2,United Kingdom
13166,2,repeating customer,0,42,218,419.7,209.85,United Kingdom
12550,1,one time customer,0,57,569,964.83,964.83,Spain
15903,8,repeating customer,9,75,2411,5127.18,640.9,United Kingdom
15034,11,repeating customer,11,396,2424,4305.11,391.37,United Kingdom
18069,7,repeating customer,10,459,1299,2024.09,289.16,United Kingdom
13594,1,one time customer,0,26,359,396.97,396.97,United Kingdom
15049,1,one time customer,0,3,63,121.17,121.17,United Kingdom
18114,1,one time customer,0,28,55,220.1,220.1,United Kingdom
17420,3,repeating customer,10,30,265,598.83,199.61,United Kingdom
16367,2,repeating customer,11,127,643,800.67,400.33,United Kingdom
16706,3,repeating customer,3,123,249,531.35,177.12,United Kingdom
17096,7,repeating customer,8,52,346,1051.58,150.23,United Kingdom
15628,10,repeating customer,12,157,1906,2874.84,287.48,United Kingdom
13186,5,repeating customer,2,84,836,1612.09,322.42,United Kingdom
18223,27,repeating customer,12,299,3006,6653.85,246.44,United Kingdom
17958,1,one time customer,0,7,84,508.46,508.46,United Kingdom
13707,2,repeating customer,2,48,351,806.41,403.21,United Kingdom
12457,9,repeating customer,6,65,894,2219.63,246.63,Switzerland
14818,3,repeating customer,6,48,324,657.8,219.27,United Kingdom
16624,2,repeating customer,4,48,488,810.57,405.28,United Kingdom
12654,5,repeating customer,9,38,264,601.98,120.4,Germany
14960,2,repeating customer,6,27,221,221.27,110.63,United Kingdom
12463,7,repeating customer,6,88,795,1385.93,197.99,Belgium
17365,8,repeating customer,10,465,4749,4767.36,595.92,United Kingdom
13368,2,repeating customer,2,29,327,623.4,311.7,United Kingdom
15689,2,repeating customer,8,9,84,254.1,127.05,United Kingdom
14887,1,one time customer,0,6,1100,1862,1862,United Kingdom
16157,4,repeating customer,2,19,350,669.14,167.29,United Kingdom
14536,1,one time customer,0,18,39,170.95,170.95,United Kingdom
13154,1,one time customer,0,1,1,611.86,611.86,United Kingdom
14386,1,one time customer,0,7,54,142.4,142.4,United Kingdom
17572,4,repeating customer,9,12,95,226.75,56.69,United Kingdom
15122,6,repeating customer,7,87,812,1655.43,275.9,United Kingdom
12457,3,repeating customer,1,3,99,589.05,196.35,Cyprus
15691,1,one time customer,0,2,72,136.8,136.8,United Kingdom
14096,34,repeating customer,4,5128,16369,73208.67,2153.2,United Kingdom
15764,10,repeating customer,6,188,2064,3314.47,331.45,United Kingdom
17346,16,repeating customer,12,486,1635,2687.86,167.99,United Kingdom
12356,3,repeating customer,10,59,1591,2811.43,937.14,Portugal
16380,1,one time customer,0,31,1428,1743.15,1743.15,United Kingdom
17976,1,one time customer,0,57,93,321.79,321.79,United Kingdom
16244,2,repeating customer,5,91,855,1522.75,761.38,United Kingdom
12560,4,repeating customer,5,111,1142,2166.63,541.66,Germany
18119,1,one time customer,0,29,124,180.7,180.7,United Kingdom
17146,3,repeating customer,8,35,212,749.78,249.93,United Kingdom
12759,3,repeating customer,7,95,902,1531.44,510.48,Netherlands
13211,3,repeating customer,11,55,834,1095.42,365.14,United Kingdom
16808,2,repeating customer,6,23,196,288.42,144.21,United Kingdom
15605,5,repeating customer,11,67,441,1198.23,239.65,United Kingdom
14632,1,one time customer,0,8,96,114.56,114.56,United Kingdom
17464,1,one time customer,0,9,220,289.96,289.96,United Kingdom
16448,1,one time customer,0,19,76,182.99,182.99,United Kingdom
13573,2,repeating customer,7,25,302,290.25,145.13,United Kingdom
12567,11,repeating customer,11,463,4521,9687.62,880.69,France
13414,3,repeating customer,5,24,1574,1390.5,463.5,United Kingdom
16510,1,one time customer,0,13,92,248.1,248.1,United Kingdom
14466,7,repeating customer,11,72,1006,2272.4,324.63,United Kingdom
17736,4,repeating customer,3,26,239,417.39,104.35,United Kingdom
15544,11,repeating customer,12,261,3113,3550.91,322.81,United Kingdom
17619,1,one time customer,0,74,124,214.37,214.37,United Kingdom
14506,5,repeating customer,11,295,704,1960.65,392.13,United Kingdom
13097,14,repeating customer,11,435,2382,6120.32,437.17,United Kingdom
15150,11,repeating customer,8,342,3667,5301.83,481.98,United Kingdom
15539,1,one time customer,0,41,410,538.46,538.46,United Kingdom
12981,2,repeating customer,4,20,242,372.22,186.11,United Kingdom
17574,1,one time customer,0,8,77,185.65,185.65,United Kingdom
15074,1,one time customer,0,41,431,735.67,735.67,United Kingdom
15888,2,repeating customer,0,14,92,195.35,97.67,United Kingdom
18015,1,one time customer,0,46,157,120.03,120.03,United Kingdom
16215,1,one time customer,0,14,104,242.35,242.35,United Kingdom
13577,5,repeating customer,7,85,811,1716.9,343.38,United Kingdom
15620,6,repeating customer,10,104,931,1581.96,263.66,United Kingdom
14401,14,repeating customer,12,183,4509,4062.98,290.21,United Kingdom
17107,7,repeating customer,8,419,5126,11232.48,1604.64,United Kingdom
17370,4,repeating customer,3,33,540,446.18,111.54,United Kingdom
12448,1,one time customer,0,22,243,449.45,449.45,Spain
15005,35,repeating customer,11,1152,4272,6430.2,183.72,United Kingdom
14904,2,repeating customer,1,69,1985,1025.44,512.72,United Kingdom
15370,8,repeating customer,9,95,832,2411.55,301.44,United Kingdom
17075,5,repeating customer,10,80,295,854.47,170.89,United Kingdom
15288,5,repeating customer,10,88,775,2306.52,461.3,United Kingdom
16700,17,repeating customer,12,312,4029,5113.1,300.77,United Kingdom
12427,5,repeating customer,11,35,830,943.23,188.65,Germany
16782,19,repeating customer,11,190,714,2305.6,121.35,United Kingdom
13461,3,repeating customer,5,27,1170,1445,481.67,United Kingdom
15136,5,repeating customer,3,69,777,1290.95,258.19,United Kingdom
15695,2,repeating customer,0,22,212,409.98,204.99,United Kingdom
14633,1,one time customer,0,20,96,344.9,344.9,United Kingdom
17507,2,repeating customer,1,88,359,605.58,302.79,United Kingdom
13028,3,repeating customer,1,47,800,662.96,220.99,United Kingdom
15017,1,one time customer,0,20,63,125.58,125.58,United Kingdom
13127,1,one time customer,0,15,127,259.17,259.17,United Kingdom
16621,4,repeating customer,7,29,302,813.48,203.37,United Kingdom
13018,29,repeating customer,9,459,5436,7282.65,251.13,United Kingdom
18042,1,one time customer,0,7,33,165.05,165.05,United Kingdom
17934,2,repeating customer,0,21,478,704.25,352.12,United Kingdom
12811,3,repeating customer,1,31,230,514.85,171.62,Portugal
17702,6,repeating customer,11,80,1386,1929.02,321.5,United Kingdom
14539,2,repeating customer,1,32,428,537.48,268.74,United Kingdom
15840,3,repeating customer,4,28,398,365.46,121.82,United Kingdom
12630,2,repeating customer,1,64,548,1270.88,635.44,Finland
15341,1,one time customer,0,17,812,2020.52,2020.52,United Kingdom
18273,3,repeating customer,9,3,80,204,68,United Kingdom
17375,4,repeating customer,6,71,373,427.7,106.93,United Kingdom
NULL,3,repeating customer,5,66,632,691.06,230.35,France
18185,1,one time customer,0,17,183,304.25,304.25,United Kingdom
17912,6,repeating customer,2,39,186,325.46,54.24,United Kingdom
15562,1,one time customer,0,1,39,134.55,134.55,United Kingdom
14841,6,repeating customer,10,138,1778,3295.76,549.29,United Kingdom
13466,2,repeating customer,2,18,260,317.85,158.92,United Kingdom
15841,6,repeating customer,9,50,958,1239.02,206.5,United Kingdom
12358,2,repeating customer,5,19,248,1168.06,584.03,Austria
