StockCode,Description,total_products_sold,total_transactions,Revenue,total_customers_bought,Number_Countries_sold
21644,Check,27,1,0,0,1
40001,Check,240,1,0,0,1
22276,NULL,59,1,0,0,1
23523,Wall art treasure ahoy,96,26,362.85,22,1
23038,T-light holder silver saucer,44,8,42.92,4,1
21488,NULL,58,2,0,0,1
47594A,Carousel design washbag,117,55,217.39,28,3
85136B,Blue shark helicopter,2,2,15.9,2,1
82095,NULL,5,1,0,0,1
21736,Adjustment,34,1,0,0,1
90143,Silver bracelet w pastel flower,33,20,252.18,7,1
20992,Jazz hearts purse notebook,4425,277,1944.63,162,6
22286,"Decoration , wobbly rabbit , metal",293,48,518.03,30,1
22406,Money box kings choice design,347,85,404.71,49,4
21414,Scallop shell soap dish,1,1,2.1,1,1
23196,Vintage leaf magnetic notepad,1732,278,2620,159,11
15058C,Ice cream design garden parasol,240,72,1429.82,26,4
82583,?,220,1,0,0,1
84507B,NULL,20,1,0,0,1
90067B,Brown vintage victorian earrings,2,2,5.8,0,1
20733,Gold mini tape measure,1534,206,1172.36,30,4
22812,?,270,1,0,0,1
84987,Set of 36 teatime paper doilies,3066,337,4492.92,203,14
23449,Set of 6 easter rainbow chicks,12,1,15,1,1
22802,Faux fur chocolate throw,87,49,1474.74,30,2
22151,Place setting white heart,16016,337,6644.17,175,8
23483,Hanging  butterfly t-light holder,1350,77,1662.6,57,4
22985,Wrap billboard fonts design,1831,64,769.02,52,5
21175,Gin + tonic diet metal sign,13739,766,29567.8,330,12
21803,Christmas tree star decoration,2353,198,1016.02,46,1
22600,Christmas retrospot star wood,1726,196,1567.03,122,8
23077,Doughnut lip gloss,10455,347,13770.77,217,15
21027,NULL,124,3,0,0,1
35597D,NULL,4,2,0,0,1
22352,Lunch box with cutlery retrospot,3104,491,7901.77,185,12
84809A,White chrysanthemums art flower,57,9,119.7,5,2
90024D,New baroque b'fly necklace pink,2,2,16.82,1,1
21414,NULL,25,2,0,0,1
84665,Water damaged,15,1,0,0,1
72814,NULL,2,1,0,0,1
22467,Wrong code?,100,1,0,0,1
21618,NULL,2,1,0,0,1
85019A,Romantic images notebook set,414,33,564.35,25,1
21319,Glass chalice green  small,162,20,177.43,12,2
23474,Woodland small blue felt heart,312,37,270.96,26,6
22145,Christmas craft heart stocking,30,1,63,1,1
23438,Gift bag large spot,96,6,120,6,1
22953,Birthday banner tape,24,1,30,1,1
23254,Kids cutlery dolly girl,36,8,149.4,8,2
21454,Painted pink rabbit,572,136,485.16,41,2
22862,NULL,33,1,0,0,1
85040B,Set/4 blue flower candles in bowl,141,38,236.07,29,1
84569D,Pack 6 heart/ice-cream patches,467,98,560.62,32,5
22620,4 traditional spinning tops,4900,486,6795.11,260,16
37474,Set/4 2 tone egg shape mixing bowls,1,1,9.95,0,1
22060,NULL,16,1,0,0,1
22121,?,90,1,0,0,1
21246,Damaged,2,1,0,0,1
22265,Easter decoration natural chick,536,64,363.55,42,1
84306,S/3 pink square planters roses,10,9,88.22,2,1
23637,Set 10 cards out of order 17216,11,9,27.39,0,1
21824,Painted metal star with holly bells,1940,118,1137.22,63,4
22878,Number tile cottage garden no,76,34,206.29,11,1
23288,Check,63,1,0,0,1
23009,I love london baby gift set,263,103,4082.52,48,8
84993a,75 green petit four cases,375,74,186.25,30,2
22809,Set of 6 t-lights santa,1270,207,3864.9,142,8
21907,I'm on holiday metal sign,2384,369,5054.48,208,9
62074B,Elephant clip w suction cup,16,4,6.72,4,1
72815,3 wick christmas briar candle,7,3,30.97,2,2
23269,Set of 2 ceramic christmas trees,779,94,1152.98,63,6
22611,Vintage union jack shopping bag,225,46,1077.03,36,4
23517,Embroidered ribbon reel rebecca,334,63,996.38,50,8
17011A,NULL,61,1,0,0,1
16254,NULL,5,1,0,0,1
85132C,Damages,109,1,0,0,1
85163B,Black baroque wall clock,85,37,796.43,11,2
22923,Sold as set on dotcom,12,1,0,0,1
21033,Jumbo bag charlie and lola toys,1933,301,4853.52,75,5
21324,Hanging medina lantern small,81,28,259.67,20,2
84199,Glow in dark dolphins,138,31,28.98,28,2
21317,Glass sphere candle stand medium,112,35,689.03,23,2
22860,Easter tin chicks pink daisy,604,109,1042.52,83,9
22082,Ribbon reel stripes design,2700,411,4694.88,250,9
85017A,NULL,20,3,0,0,1
23516,Embroidered ribbon reel sophie,296,42,1058.6,39,7
22255,Felt toadstool  small,629,77,602.63,33,6
22086,Paper chain kit 50's christmas,19782,1170,66035.94,615,10
23324,Rustic strawberry jam pot large,314,40,644.99,32,4
23349,Roll wrap vintage christmas,3245,339,4372.6,214,8
35991,NULL,1,1,0,0,1
22502,Reverse 21/5/10 adjustment,100,1,0,0,1
21818,Glitter heart decoration,2469,142,1088.59,104,3
16238,Party time pencil erasers,1396,134,321.67,61,6
22621,Traditional knitting nancy,6199,613,10118.4,366,14
21200,Multicolour honeycomb paper garland,1119,75,1531.14,33,4
22530,Magic drawing slate dolly girl,3652,234,1526.54,143,10
21769,Showroom,5,1,0,0,1
84670,NULL,23,1,0,0,1
85027L,NULL,8,1,0,0,1
23290,Spaceboy childrens bowl,2440,216,2902.85,125,14
84706D,Cherry blossom table clock,8,4,29.6,3,2
21380,Wooden happy birthday garland,2166,291,6310.46,138,14
22416,Set of 36 spaceboy paper doilies,57,9,84.12,8,4
85180B,Pink hearts light chain,271,48,587.2,19,3
20617,First class passport cover,93,43,194.94,20,3
22389,Paperweight save the planet,438,46,851.55,36,4
84927E,NULL,2,1,0,0,1
90043,Copper and brass bag charm,4,2,24.81,2,1
85135C,Found,36,1,0,0,1
21403,Blue egg  spoon,1857,106,322.18,58,7
21775,Decorative flore bathroom bottle,518,140,720.61,34,3
22890,Novelty biscuits cake stand 3 tier,414,177,4208.12,97,10
22690,Doormat home sweet home blue,1627,290,9992,198,15
85185B,Pink horse sock puppet kit,43,15,126.85,13,1
20728,Lunch bag cars blue,12000,1173,22026.98,481,18
21564,Pink  heart shape love bucket,1045,126,1839.67,63,7
PADS,Pads to match all cushions,4,4,0,4,1
35610B,Thrown away,541,1,0,0,1
20818,Gold teddy bear,15,5,42.7,2,1
16161U,Wrap suki and friends,4100,135,1698,105,10
22107,Pizza plate in box,613,183,2229.31,46,4
71053,White moroccan metal lantern,69,26,381.55,9,2
23541,"Wall art ,puddings",8,2,61.2,2,1
84584,Pink gingham cat with scarf,144,30,314.51,18,4
20941,Frog candle,66,20,86.28,14,1
23210,White rocking horse hand painted,3049,196,3771.29,115,13
22088,NULL,40,2,0,0,1
22905,Calendar in season design,581,110,1502.29,50,5
23092,Large antique white photo frame,533,144,3835.53,96,5
78033,Flag of st george chair,41,10,203.15,6,2
85203,Hanging wood and felt butterfly,895,127,408.99,45,3
84465,NULL,6,1,0,0,1
23209,Lunch bag vintage doiley,71,5,119.63,4,1
90151,Silver/natural shell necklace,8,4,68,2,1
84661A,White square table clock,105,21,172.75,10,3
23157,Set of 6 nativity magnets,3037,165,5587.06,111,11
16020C,Clear stationery box set,84,17,69.9,1,1
21155,Red retrospot peg bag,3393,498,9806.9,206,9
23134,NULL,108,2,0,0,1
84925F,Psychedelic wall thermometer,79,14,109.93,14,1
44092B,Blue white plastic rings lampshade,14,5,11.9,4,1
21705,Bag 500g swirly marbles,1479,144,1493.77,89,5
35911A,Multicolour rabbit egg warmer,319,70,292.07,23,4
90128B,Blue leaves and beads phone charm,2,2,3.76,1,1
79331,NULL,3,1,0,0,1
35815P,"Acrylic jewel snowflake, pink",162,5,63.28,5,2
35819B,"Acrylic hanging jewel,blue",268,24,106.05,19,2
84508A,Check,39,1,0,0,1
22104,Mirror mosaic candle plate,288,59,343.71,9,1
72801G,NULL,47,1,0,0,1
21294,Damaged,227,1,0,0,1
84509E,Set of 4 carousel placemats,91,23,183.45,7,2
22085,Paper chain kit skulls,548,97,1566.99,62,7
22722,Set of 6 spice tins pantry design,5996,846,24554.26,393,20
23237,Set of 4 knick knack tins leaf,761,131,3077.51,96,10
90214N,"Letter ""n"" bling key ring",41,24,29.23,3,1
22112,Chocolate hot water bottle,6146,866,33375.46,383,13
23181,Bull dog bottle top wall clock,205,86,1766.57,60,5
84531B,NULL,23,1,0,0,1
20934,Set/3 pot plant candles,82,36,499.76,22,3
DCGS0071,NULL,2,1,0,0,1
23360,Set 8 candles vintage doiley,122,7,216.3,7,3
22770,Mirror cornice,98,66,1575.48,44,6
21786,Polkadot rain hat,2103,228,926.23,56,9
21181,Dotcom,20,1,0,0,1
79030D,"Tumbler, baroque",56,7,84.04,5,2
23254,Childrens cutlery dolly girl,1687,299,6836.71,197,21
90038B,Glass and painted beads bracelet ol,13,8,48.77,1,1
23293,Set of 12 fairy cake baking cases,8503,557,7016.1,323,18
23296,Set of 6 tea time baking cases,5006,384,6019.3,243,16
84707B,Pink jewelled mirror trinket tray,34,18,210.55,13,3
22111,Scottie dog hot water bottle,4784,778,24999.84,427,11
21636,Madras notebook medium,913,73,705.16,60,4
23519,Embroidered ribbon reel claire,224,24,792.31,18,6
23003,Printing smudges/thrown away,9058,1,0,0,1
47504K,NULL,368,3,0,0,1
85065,Cream sweetheart trays,1,1,12.75,1,1
84509B,Set of 4 fairy cake placemats,222,83,843.34,37,9
37491B,Blue/yellow ceramic candle holder,4,1,6.6,1,1
22676,French blue metal door sign 1,1192,209,1592.14,61,2
23634,Set 10 cards xmas choir 17068,5,5,14.55,0,1
84030E,English rose hot water bottle,1608,377,7305.2,198,10
84796A,Pink hawaiian picnic hamper for 2,78,55,709.24,10,2
35598A,NULL,8,1,0,0,1
23638,Set 10 cards robin waterpump  17096,2,2,5.82,0,1
21329,Dinosaurs  writing set,941,287,1723.69,120,6
47341A,NULL,7,2,0,0,1
22549,Picture dominoes,3188,356,4798.38,195,11
23244,Storage tin vintage leaf,60,7,117,7,3
23510,Mini playing cards gymkhana,2521,120,1118.8,90,9
77101A,NULL,91,2,0,0,1
21220,Set/4 badges dogs,338,89,445.01,34,3
22099,Caravan square tissue box,1449,154,811.84,96,10
72127,Found box,24,1,0,0,1
85049D,?,100,1,0,0,1
35823P,NULL,12,1,0,0,1
90030A,Spotted white natural seed necklace,72,7,72,7,4
84926E,Flowers tile coaster,968,39,327.8,32,2
22222,Cake plate lovebird white,1057,222,3880.2,104,9
23476,Woodland large red felt heart,205,22,264.72,18,6
84818,Danish rose photo frame,1518,106,1562.26,79,4
21826,Eight piece dinosaur set,129,36,190.18,16,2
23252,Vintage red enamel trim jug,628,143,2355.36,104,8
20755,Blue paisley pocket book,306,62,271.17,44,4
85063,Cream sweetheart magazine rack,3,2,46.85,2,1
85175,Check,42,1,0,0,1
35915C,Damaged,43,1,0,0,1
22867,Hand warmer bird design,6486,560,14173.19,333,8
22593,Christmas gingham star,2407,199,2189.32,107,9
20713,Marked as 23343,400,1,0,0,1
84881,Blue wire spiral candle holder,13,7,88.92,5,1
22946,Check,21,1,0,0,1
22784,Damages,25,1,0,0,1
21644,Assorted tutti frutti heart box,240,34,300,30,1
84686,NULL,34,2,0,0,1
21390,Filigris heart with butterfly,3906,213,4851.88,120,3
72051S,Bag of silver stones,130,13,89.53,5,1
35648,Check,56,2,0,0,1
21206,Strawberry honeycomb  garland,1292,110,1614.22,56,6
22943,Christmas lights 10 vintage baubles,1389,220,6920.97,133,7
22868,Number tile cottage garden 0,63,20,144.65,10,2
90144,Silver drop earrings with flower,18,14,67.36,3,1
22491,Pack of 12 coloured pencils,3959,220,3193.83,162,12
22922,Sold as set on dotcom,42,1,0,0,1
84846A,Scented candle in digitalis tin,56,13,126.04,9,1
23343,Wrongly coded 20713,1800,2,0,0,1
35912B,White/pink chick decoration,252,20,301.26,15,5
90175D,Tigris eye chunky charm bracelet,23,20,210.04,2,1
23497,Classic chrome bicycle bell,2510,194,3596.02,149,12
23508,Mini playing cards dolly girl,2629,121,1164.29,95,10
22730,Alarm clock bakelike ivory,2935,583,11640.9,242,12
23523,Treasure ahoy wall art,270,16,833.46,15,2
22893,NULL,42,1,0,0,1
22053,Empire design rosette,4245,29,3607.67,23,3
22942,Christmas lights 10 santas,684,164,5064.89,116,6
22967,Set 3 song bird paper eggs assorted,1193,142,3336.31,122,11
90179C,Black fine bead necklace w tassel,6,6,35.44,1,1
22128,Sold as set on dotcom,24,1,0,0,1
21038,NULL,6,1,0,0,1
22810,NULL,33,1,0,0,1
23146,Triple hook antique ivory rose,848,249,2809.36,151,8
90096,Necklace+bracelet set blue blossom,45,26,112.21,3,1
21632,NULL,49,2,0,0,1
22155,Star decoration rustic,2500,143,1153.77,67,2
21922,Union stripe with fringe  hammock,899,209,6944.36,113,6
23271,Christmas table silver candle spike,1715,103,1483.61,68,8
22581,Wood stocking christmas scandispot,1571,178,1138.98,84,4
84920,NULL,30,2,0,0,1
79030D,NULL,13,1,0,0,1
22655,Vintage red kitchen cabinet,70,46,9855.5,35,3
90155,Resin necklace w pastel beads,9,7,67.62,4,1
85194L,Hanging spring flower egg large,975,76,846.69,52,4
21617,4 lily  botanical dinner candles,525,102,1009.26,62,3
90082D,Diamante bow brooch black colour,9,5,58.03,4,1
22939,Apron apple delight,299,82,1516.09,52,7
23068,Aluminium stamped heart,779,130,1892.23,100,6
79163,NULL,171,2,0,0,1
72802C,Check,75,3,0,0,1
20803,Small pink glass sundae dish,1007,42,504.94,26,3
22858,Easter tin keepsake,1136,139,1877.28,103,12
84912B,NULL,93,1,0,0,1
18094C,White and blue ceramic oil burner,192,42,283.93,13,2
22087,Paper bunting white lace,4158,334,12096.38,155,8
84875B,Green square compact mirror,131,20,203.51,14,2
22386,Jumbo bag pink polkadot,21904,1231,43217.59,372,13
90161D,Ant copper pink boudicca bracelet,64,34,318.89,6,2
90184B,Amethyst chunky bead bracelet w str,33,21,297.94,11,2
23494,Vintage doily deluxe sewing kit,874,216,5740.76,145,13
79323P,"Unsaleable, destroyed.",2003,1,0,0,1
22481,Black tea towel classic design,825,128,747.3,68,3
21884,Cakes and bows gift  tape,1166,93,413.76,43,5
23324,Rustic strawberry jampot large,120,6,238.56,6,2
84970S,Hanging heart zinc t-light holder,9142,609,8167,271,9
23264,Set of 3 wooden sleigh decorations,1964,300,2692.06,177,12
90140,Pink sweetie necklace,2,2,15.12,0,1
22467,Wrongly sold (22719) barcode,170,1,0,0,1
84617,New baroque black boxes,3,3,38.25,3,2
21432,NULL,2,1,0,0,1
79144B,Painted lightbulb star+ moon,180,53,103.23,14,2
44242A,Lilac feathers curtain,12,1,9.48,1,1
84659A,Check,19,1,0,0,1
85127,NULL,6,1,0,0,1
35818B,"Acrylic jewel icicle, blue",31,3,11.78,3,1
84569B,NULL,37,2,0,0,1
22084,Paper chain kit empire,5222,438,15220.32,278,4
23539,"Wall art , loves' secret",8,2,47.6,2,1
17136A,Check,3,1,0,0,1
21648,NULL,130,1,0,0,1
21424,Woodland storage box large,351,75,1415.77,21,7
84916,Hand towel pale blue w flowers,223,29,453.39,17,3
21684,Small medina stamped metal bowl,771,47,612.1,27,4
84551,Crochet dog keyring,13,2,21.45,1,1
22575,Missing?,130,1,0,0,1
85232A,Set/3 polkadot stacking tins,81,30,404.4,22,4
10002,Inflatable political globe,860,71,759.89,40,7
20897,Vintage notebook paris days,119,26,333.67,9,2
21827,Eight piece creepy crawlie set,6,3,7.5,3,1
16046,Teatime pen case & pens,65,14,55.25,13,1
90002D,NULL,9,1,0,0,1
79323LP,"Unsaleable, destroyed.",2618,1,0,0,1
21538,Dairy maid  pudding bowl,5,2,18.75,2,1
21371,Mirrored wall art poppies,287,38,319.71,27,6
90128D,Purple leaves and beads phone char,2,2,4.97,0,1
85036B,Check,23,1,0,0,1
35916A,NULL,21,1,0,0,1
22294,Heart filigree dove  small,5491,302,6847.58,162,5
22892,Check,62,1,0,0,1
22775,NULL,40,1,0,0,1
23469,Card holder love bird small,336,74,1371.84,61,7
23366,Set 12 colouring pencils doiley,1,1,0.65,1,1
22336,NULL,114,1,0,0,1
22208,Wood stamp set thank you,1522,282,1583.1,148,7
46776b,Woven berries cushion cover,162,89,683.8,6,1
84614A,Pink baroque flock candle holder,2,1,11.9,1,1
90122A,Pink crystal+glass bracelet,21,14,104.53,3,1
22258,Felt farm animal rabbit,919,79,752.64,35,4
37479P,Cubic mug flock pink on brown,163,32,142.23,15,3
22287,"Decoration , wobbly chicken, metal",234,35,397.72,27,2
90035C,"Pearl & shell 42""neckl. ivory",2,1,21.5,1,1
22824,3 tier sweetheart garden shelf,56,44,1974.2,42,4
79192A,NULL,9,1,0,0,1
21262,White goose feather christmas tree,337,81,1289.96,43,4
71477,Coloured glass star t-light holder,1066,59,3778.42,34,2
84875D,Blue square compact mirror,51,8,63.75,8,1
21172,NULL,90,2,0,0,1
85104,????damages????,355,1,0,0,1
23294,Set of 6 snack loaf baking cases,4405,358,3618.6,214,15
21770,Open closed metal sign,1644,389,7953.63,263,17
22728,Alarm clock bakelike pink,5397,799,20825.9,292,16
85068,Cream sweetheart shelf + hooks,1,1,7.95,1,1
90081A,Lily brooch amethyst colour,15,8,74.25,7,1
21804,NULL,94,2,0,0,1
DCGS0003,Ebay,7,1,0,0,1
21078,NULL,207,1,0,0,1
84916,NULL,32,1,0,0,1
17012C,Check,22,1,0,0,1
22116,Metal sign his dinner is served,587,149,630.62,65,2
21357,NULL,47,2,0,0,1
37468,NULL,69,2,0,0,1
85126,NULL,3,2,0,0,1
22407,Money box first aid design,44,11,36.78,9,1
84691,Pack 20 dolly pegs,242,4,174.5,2,1
90039A,Fire polished glass bracelet red,8,3,29.96,1,1
21375,Large camphor wood field mushroom,41,27,312.77,9,2
20701,NULL,30,2,0,0,1
90205A,Large mint diamante hairslide,31,16,51.51,6,2
47310M,Small pop box funky monkey,258,87,353.98,20,3
21428,Set3 book box green gingham flower,1242,268,5299.88,117,14
D,Discount,1194,65,5696.22,24,4
DCGSSBOY,Boys party bag,47,11,150.55,0,1
84341B,NULL,181,2,0,0,1
22232,Jigsaw toadstools 3 piece,754,88,659.18,54,11
35271S,NULL,13,1,0,0,1
21002,Rose du sud drawstring bag,125,66,428.66,5,5
20914,Set/5 red spotty lid glass bowls,288,1,734.4,1,1
85016,NULL,51,2,0,0,1
21110,Large cake towel pink spots,1107,135,3829.2,62,8
21743,NULL,80,1,0,0,1
90025E,Baroque butterfly earrings montana,1,1,3.73,0,1
22062,NULL,37,3,0,0,1
72122,Coffee scent pillar candle,324,61,335.79,38,2
81953B,Round blue clock with sucker,11,3,2.09,2,1
90202D,Pink enamel flower hair tie,28,12,82.16,2,3
22367,Childrens apron spaceboy design,3787,563,7576.83,300,17
20702,Pink padded mobile,134,42,573.54,31,7
23075,Double ceramic parlour hook,22,5,91.3,5,2
84845D,NULL,5,1,0,0,1
23065,NULL,13,1,0,0,1
21458,2 picture book eggs easter bunny,182,36,256.54,18,3
22218,Cake stand lace white,1,1,4.25,1,1
23576,Snack tray red vintage doily,198,37,400.04,28,4
21147,NULL,205,2,0,0,1
21009,Etched glass star tree decoration,1,1,1.25,0,1
78027,NULL,3,1,0,0,1
84531A,NULL,34,1,0,0,1
22121,NULL,21,2,0,0,1
22084,NULL,283,9,0,0,1
22355,Test,1,1,0,0,1
84731,3 birds canvas screen,2,2,2.04,2,1
22978,Pantry rolling pin,2539,250,9837.59,153,10
22791,T-light glass fluted antique,8132,355,10066.63,184,8
22449,Can't find,125,1,0,0,1
22286,Check,47,1,0,0,1
79320,Flamingo lights,1,1,4.95,1,1
20756,Green fern pocket book,63,22,53.55,20,2
47591D,NULL,201,1,0,0,1
21431,NULL,21,1,0,0,1
85172,Wrongly sold as sets,600,1,0,0,1
22632,NULL,89,2,0,0,1
85167B,Black grand baroque photo frame,50,8,109.94,7,2
35954,Small folkart star christmas dec,1245,54,350.48,30,2
23542,70's alphabet wall art,150,15,1043.1,14,2
23466,Tuscan villa dovecote bird feeder,44,24,407.28,18,1
23485,Botanical gardens wall clock,280,96,6251.32,70,5
20861,Gold cosmetic bag pink star,2,2,4.2,2,1
22274,Feltcraft doll emily,1347,269,3974.13,168,11
84406B,NULL,38,1,0,0,1
46037A,NULL,5,1,0,0,1
22459,Cast iron hook garden trowel,386,25,1018.19,12,2
23402,Home sweeet home 3 peg hanger,25,4,93.75,4,1
22709,Wrap wedding day,1325,39,528.5,38,7
21188,3d hearts  honeycomb paper garland,326,50,1021.9,27,5
23177,Treasure island book box,2552,272,5566.29,174,16
21397,Damaged,57,1,0,0,1
DOT,Dotcom postage,709,709,206252.06,1,1
37340,Sold as set on dotcom,18,1,0,0,1
90199D,5 strand glass necklace amber,6,6,37.62,2,1
22740,Polkadot pen,6842,170,5793.62,89,9
23375,50's christmas paper gift bag,1343,104,1101.51,85,3
84249A,"Greeting card,square, doughnuts",174,27,80.46,12,2
23388,Woodland mini backpack,816,152,3411.34,114,10
90156,Resin bracelet w pastel beads,4,3,19.8,2,1
84507C,Adjustment,4,1,0,0,1
84006,Magic tree -paper flowers,919,106,849.55,46,4
72349B,Set/6 purple butterfly t-lights,888,196,2145.2,51,2
23217,Laurel heart antique silver,1309,97,1613.82,64,1
85086A,NULL,42,3,0,0,1
23341,Pink diner wall clock,307,121,2741.35,75,11
22458,Missing,65,1,0,0,1
84614A,Thrown away,390,1,0,0,1
21656,Samples,19,1,0,0,1
85132A,Charlie + lola biscuits tins,555,120,1657.87,38,3
21503,Toybox  wrap,727,24,289.34,22,5
S,Samples,62,19,3165.75,0,1
20966,Sandwich bath sponge,719,97,1022.8,28,5
23125,6pc wood plate set disposable,459,38,574.88,15,3
23292,Spaceboy childrens cup,2071,222,2583.82,112,15
21710,Folding umbrella pinkwhite polkadot,107,45,501.98,29,5
21351,Cinammon & orange wreath,111,36,720.13,28,4
90202B,White enamel flower hair tie,23,11,67.35,2,2
23301,Gardeners kneeling pad keep calm,8921,924,16496.25,405,9
23303,Set 4 picnic cutlery fondant,65,6,126.75,6,3
20658,Red retrospot luggage tag,445,106,667.11,44,6
20906,Vintage notebook beauty girl,3,2,8.85,2,1
78124,Magazine rack gebra assorted,198,18,256.5,16,2
23497,Classic crome bicycle bell,60,2,77.4,2,2
22784,Lantern cream gazebo,1313,326,6561.84,194,10
20802,Small glass sundae dish clear,778,65,1004.54,40,2
22079,Ribbon reel hearts design,1927,326,3374.79,190,10
23060,Heart beaded trellis decoration,249,42,528.17,34,2
21108,Fairy cake flannel assorted colour,13391,265,24647.7,160,14
23196,Leaves magnetic  shopping list,24,2,34.8,2,1
22501,NULL,164,5,0,0,1
22448,Pin cushion babushka red,201,45,656.43,29,8
21427,Skulls storage box small,99,44,262.74,23,3
22622,Box of vintage alphabet blocks,1355,272,14082.66,174,13
85071B,Red charlie+lola personal doorsign,1292,126,690.52,88,4
35004P,NULL,1,1,0,0,1
17091A,NULL,84,1,0,0,1
22989,Set 2 pantry design tea towels,2835,376,9077.27,241,18
90059E,Diamante hair grip pack/2 ruby,31,16,51.27,3,2
22556,Plasters in tin circus parade,6179,581,10170.76,306,21
DCGS0004,Haynes camper shoulder bag,1,1,16.63,0,1
21269,Antique cream cutlery shelf,29,19,254.98,17,1
85170B,Set/6 black bird t-light candles,216,40,318.85,14,1
85071A,Blue charlie+lola personal doorsign,1193,113,1031.63,78,6
22915,Assorted bottle top  magnets,3242,188,1444.22,110,14
23135,Small zinc heart wall organiser,1541,45,5416.18,31,1
22633,NULL,53,1,0,0,1
